id,RAJ2000,DEJ2000,release,brickid,objid,type,pstar,gmmcomp,zphot,e_zphot,fclean,fqual,label
8000329640002591.0,178.224069537239,-0.244875598255,8000.0,329640.0,2591.0,REX,0.010999999940395355,R5,1.184000015258789,0.22100000083446503,1.0,1.0,Low Surface Brightness Galaxy
8000481096001580.0,179.849390117189,26.951659371611,8000.0,481096.0,1580.0,REX,0.0,R7,1.218999981880188,0.3540000021457672,1.0,1.0,Low Surface Brightness Galaxy
8000491302004793.0,185.069385285783,29.100408581409,8000.0,491302.0,4793.0,PSF,0.009999999776482582,P2,1.4550000429153442,0.9990000128746033,0.0,0.0,Low Surface Brightness Galaxy
8000388461000221.0,185.535029258889,9.885246331391,8000.0,388461.0,221.0,PSF,0.0,P9,1.843999981880188,0.32499998807907104,1.0,1.0,Low Surface Brightness Galaxy
8000372789000887.0,186.057978981583,7.169891730598,8000.0,372789.0,887.0,REX,0.0020000000949949026,R4,0.871999979019165,0.0860000029206276,0.0,0.0,Low Surface Brightness Galaxy
8000375650003333.0,186.588118872977,7.767847568388,8000.0,375650.0,3333.0,EXP,0.0010000000474974513,E7,0.7409999966621399,0.10999999940395355,1.0,1.0,Low Surface Brightness Galaxy
8000365636000650.0,187.440636281613,5.914731705344,8000.0,365636.0,650.0,PSF,0.3490000069141388,P2,0.492000013589859,0.3540000021457672,0.0,0.0,Low Surface Brightness Galaxy
8000283726003955.0,187.472296630419,-8.161612603482,8000.0,283726.0,3955.0,PSF,0.7519999742507935,P8,3.6429998874664307,0.7400000095367432,1.0,0.0,Low Surface Brightness Galaxy
8000375654001782.0,187.753456735413,7.720852280345,8000.0,375654.0,1782.0,EXP,0.9559999704360962,E2,1.7669999599456787,0.7350000143051147,0.0,0.0,Low Surface Brightness Galaxy
8000394142000947.0,188.297210830513,10.926189395198,8000.0,394142.0,947.0,REX,0.07000000029802322,R5,0.593999981880188,0.33399999141693115,0.0,0.0,Low Surface Brightness Galaxy
8000387059004315.0,190.056461163751,9.846453868732,8000.0,387059.0,4315.0,REX,0.05700000002980232,R4,0.3569999933242798,0.08299999684095383,1.0,1.0,Low Surface Brightness Galaxy
8000402619003041.0,190.5569078917,12.537441675413,8000.0,402619.0,3041.0,PSF,0.03200000151991844,P1,0.5899999737739563,0.22300000488758087,1.0,1.0,Low Surface Brightness Galaxy
8000497594002630.0,191.320532460892,30.281225898043,8000.0,497594.0,2630.0,PSF,0.003000000026077032,P1,0.6980000138282776,0.25099998712539673,1.0,1.0,Low Surface Brightness Galaxy
8000498840001357.0,191.610777671321,30.449235394244,8000.0,498840.0,1357.0,REX,0.003000000026077032,R0,0.7070000171661377,0.22599999606609344,1.0,1.0,Low Surface Brightness Galaxy
8000290891002070.0,192.806932354972,-7.016828440343,8000.0,290891.0,2070.0,PSF,0.007000000216066837,P3,0.8600000143051147,0.2280000001192093,1.0,1.0,Low Surface Brightness Galaxy
8000339781003008.0,193.420980250856,1.56768278841,8000.0,339781.0,3008.0,REX,0.00800000037997961,R5,0.8389999866485596,0.16500000655651093,1.0,1.0,Low Surface Brightness Galaxy
8000312423002786.0,193.677543982145,-3.249922035864,8000.0,312423.0,2786.0,PSF,0.004000000189989805,P1,0.6349999904632568,0.2460000067949295,1.0,1.0,Low Surface Brightness Galaxy
8000440057001206.0,193.915976793963,19.207109887594,8000.0,440057.0,1206.0,REX,0.004000000189989805,R7,0.6800000071525574,0.25699999928474426,0.0,0.0,Low Surface Brightness Galaxy
8000493853000610.0,194.740720241994,29.408665628812,8000.0,493853.0,610.0,REX,0.0,R4,0.5550000071525574,0.05000000074505806,1.0,1.0,Low Surface Brightness Galaxy
8000306676000114.0,195.002966051114,-4.354376459835,8000.0,306676.0,114.0,COMP,0.007000000216066837,C6,0.11500000208616257,0.027000000700354576,1.0,1.0,Low Surface Brightness Galaxy
8000282994002365.0,2.70424600169,-8.239306511347,8000.0,282994.0,2365.0,PSF,0.0020000000949949026,P6,1.5789999961853027,0.2759999930858612,1.0,1.0,Low Surface Brightness Galaxy
8000448220004013.0,202.06372560056,20.86199221026,8000.0,448220.0,4013.0,EXP,0.2840000092983246,E4,0.09700000286102295,0.061000000685453415,1.0,1.0,Low Surface Brightness Galaxy
8000404073001938.0,202.694329595187,12.727839721621,8000.0,404073.0,1938.0,PSF,0.7289999723434448,P6,0.4099999964237213,0.11599999666213989,1.0,0.0,Low Surface Brightness Galaxy
8000398439004030.0,202.7963346153,11.825141351835,8000.0,398439.0,4030.0,PSF,0.0,P6,1.3079999685287476,0.5870000123977661,1.0,0.0,Low Surface Brightness Galaxy
8000385690002704.0,203.11376894585,9.524435842858,8000.0,385690.0,2704.0,PSF,0.7620000243186951,P8,2.88100004196167,0.8180000185966492,1.0,0.0,Low Surface Brightness Galaxy
8000329746002171.0,204.672086794171,-0.259295196339,8000.0,329746.0,2171.0,EXP,0.004999999888241291,E1,0.4860000014305115,0.14499999582767487,0.0,0.0,Low Surface Brightness Galaxy
8000458951000615.0,206.715637396463,22.655825569244,8000.0,458951.0,615.0,REX,0.1289999932050705,R2,0.546999990940094,0.2529999911785126,1.0,1.0,Low Surface Brightness Galaxy
8000296677002161.0,207.256913772161,-6.031277939536,8000.0,296677.0,2161.0,PSF,0.028999999165534973,P2,0.5920000076293945,0.125,1.0,1.0,Low Surface Brightness Galaxy
8000480529003254.0,21.022909351862,27.039234355198,8000.0,480529.0,3254.0,REX,0.019999999552965164,R7,0.5720000267028809,0.15399999916553497,1.0,1.0,Low Surface Brightness Galaxy
8000390652001481.0,21.458303114188,10.476028847864,8000.0,390652.0,1481.0,REX,0.003000000026077032,R7,0.8489999771118164,0.2529999911785126,1.0,1.0,Low Surface Brightness Galaxy
8000333334004672.0,21.624835612069,0.552959156801,8000.0,333334.0,4672.0,REX,0.003000000026077032,R3,0.3630000054836273,0.04500000178813934,1.0,1.0,Low Surface Brightness Galaxy
8000402695000155.0,210.091733696349,12.382015072967,8000.0,402695.0,155.0,REX,0.0,R5,1.1829999685287476,0.25099998712539673,1.0,1.0,Low Surface Brightness Galaxy
8000470835000639.0,210.722150509657,24.902895780079,8000.0,470835.0,639.0,REX,0.6620000004768372,R3,0.41200000047683716,0.10700000077486038,1.0,1.0,Low Surface Brightness Galaxy
8000431917001784.0,211.563560772148,17.719119074401,8000.0,431917.0,1784.0,REX,0.014999999664723873,R5,0.5649999976158142,0.2720000147819519,1.0,1.0,Low Surface Brightness Galaxy
8000357124004237.0,212.104628567656,4.596509971743,8000.0,357124.0,4237.0,DEV,0.0010000000474974513,D3,0.2709999978542328,0.0949999988079071,1.0,1.0,Low Surface Brightness Galaxy
8000423648000542.0,212.33784803162,16.157561676856,8000.0,423648.0,542.0,PSF,0.9700000286102295,P2,1.7070000171661377,0.6859999895095825,1.0,0.0,Low Surface Brightness Galaxy
8000406921000764.0,212.693616484824,13.16448763598,8000.0,406921.0,764.0,REX,0.010999999940395355,R0,0.5450000166893005,0.15700000524520874,1.0,1.0,Low Surface Brightness Galaxy
8000387150002274.0,212.968666898131,9.7443741089,8000.0,387150.0,2274.0,DEV,0.03700000047683716,D6,0.7820000052452087,0.07199999690055847,1.0,1.0,Low Surface Brightness Galaxy
8000328340001079.0,213.07701210648,-0.571643733111,8000.0,328340.0,1079.0,EXP,0.8980000019073486,E4,0.07100000232458115,0.06199999898672104,0.0,0.0,Low Surface Brightness Galaxy
8000505088002048.0,213.123154666192,31.748380180736,8000.0,505088.0,2048.0,DEV,0.0020000000949949026,D6,0.7699999809265137,0.07999999821186066,1.0,1.0,Low Surface Brightness Galaxy
